"시도교육청","지역교육청","지역","정보공시 학교코드","학교명","학교급코드","설립구분","제외여부","제외사유","교과프로그램수","교과수강학생수","특기적성프로그램수","특기적성수강학생수","프로그램수(계)","수강학생수(계)","방과후학교참여학생수","초등돌봄교실 오후돌봄운영교실수","초등돌봄교실 오후돌봄참여학생수","초등돌봄교실 저녁돌봄운영교실수","초등돌봄교실 저녁돌봄참여학생수","초등돌봄교실방과후학교 연계형돌봄운영교실수","초등돌봄교실방과후학교 연계형돌봄참여학생수","초등돌봄참여학생중 특수교육대상학생수","특수학교종일반 학급수","특수학교종일반 참여학생수","방과후학교 수익자부담금액","방과후학교 수익자부담외지원금액","초등돌봄교실 수익자부담금액","초등돌봄교실 수익자부담외지원금액"
"서울특별시교육청","교육부","서울특별시 서초구","S000003511","서울교육대학교부설초등학교","02","국립","N","","4","51","8","112","12","163","163","1","20","1","9","0","0","0","0","0","102238430","1166550","3364500","46600000"
"서울특별시교육청","교육부","서울특별시 종로구","S000003563","서울대학교사범대학부설초등학교","02","국립","N","","25","255","27","303","52","558","301","0","0","0","0","0","0","0","0","0","208104600","2114310","0","0"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000738","서울개일초등학교","02","공립","N","","6","62","38","484","44","546","257","2","50","0","0","0","0","0","0","0","125543360","16095880","0","28140000"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000741","서울구룡초등학교","02","공립","N","","10","126","42","601","52","727","359","4","68","0","0","1","18","0","0","0","93595610","14695000","0","137405840"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000742","서울논현초등학교","02","공립","N","","7","133","13","386","20","519","175","4","62","1","1","0","0","0","0","0","51731210","14652690","0","0"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000743","서울대곡초등학교","02","공립","N","","15","364","35","875","50","1239","1239","20","50","1","4","0","0","0","0","0","419600495","29265663","0","0"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000744","서울대도초등학교","02","공립","N","","6","211","28","1146","34","1357","942","1","28","0","0","1","17","0","0","0","27958000","1568000","0","0"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000745","서울대모초등학교","02","공립","N","","1","39","33","405","34","444","444","4","115","1","3","0","0","0","0","0","239158080","0","9385000","134317850"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000746","서울대왕초등학교","02","공립","N","","9","219","19","377","28","596","327","4","70","1","1","0","0","0","0","0","66941200","19625710","31266000","5686000"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000747","서울대진초등학교","02","공립","N","","2","24","12","234","14","258","150","3","69","0","0","0","0","0","0","0","23237700","8300000","7115000","142058000"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000748","서울대청초등학교","02","공립","N","","2","27","6","79","8","106","54","2","22","0","0","0","0","0","0","0","6009150","3098850","0","73384630"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000749","서울대치초등학교","02","공립","N","","10","175","2","25","12","200","142","1","25","0","0","0","0","0","0","0","44853170","2761110","0","0"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000750","서울대현초등학교","02","공립","N","","4","114","67","734","71","848","378","2","50","0","0","1","73","1","0","0","237895820","25352930","93019910","8605000"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000751","서울도곡초등학교","02","공립","N","","22","254","59","699","81","953","496","4","92","1","15","1","26","0","0","0","506128390","44485070","15030000","510000"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000752","서울도성초등학교","02","공립","N","","13","469","25","614","38","1083","929","2","50","1","2","1","19","0","0","0","177367390","9545960","0","36775090"
